OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,279449,396519,254358,204414,128508
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-10-01T00:00:00,2022-10-31T23:59:59,Month,2022-10,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,216338,287210,184539,149226,105614
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,237083,315894,210484,168182,113498
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,200020,276114,172061,138154,95407
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,228562,284489,194691,154264,103722
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,185407,299082,202547,155768,114043
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,272785,332966,225586,185136,117660
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,246533,307157,209983,169561,99571
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,277990,393972,253037,203743,128213
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-09-01T00:00:00,2022-09-30T23:59:59,Month,2022-09,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,217401,288445,185433,150149,106539
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,233879,311479,207515,166090,112669
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,194111,267764,166912,134362,93287
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,226940,282137,193406,153553,103813
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,183699,296536,200577,154211,113481
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,267679,326662,221278,181765,116447
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,244021,303876,207897,168018,99216
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,269799,382002,245603,197793,125501
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-08-10T00:00:00,,2022-08-01T00:00:00,2022-08-31T23:59:59,Month,2022-08,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,219656,291033,187542,151973,108470
